"Creative","Side","Spending","Recall","Predicted Recall","Stickiness Over Expectation","Predicted Spending","Surplus Value"
"Protecting Predators","NO",227000,21,5.63991764041254,15.3600823595875,845225.108580009,618225.108580009
"Women's Health","NO",927020,25,23.0322310617411,1.96776893825887,1006220.36735715,79200.3673571533
"Hurt","NO",581868,22,14.4567735576721,7.5432264423279,885473.923274295,303605.923274295
"True Story","YES",1998163,62,49.6452632251967,12.3547367748033,2495426.51104574,497263.51104574
"Broken","YES",1603698,47,39.8446019387415,7.15539806125852,1891694.29063145,287996.290631448
"After Viability","NO",1407863,42,34.978992814908,7.02100718509195,1690450.21716002,282587.217160018
"Insane","YES",1838141,51,45.6694442795839,5.33055572041606,2052689.54940859,214548.549408593
"Do Not Judge","YES",1653666,44,41.0860794922927,2.91392050770727,1770947.84654859,117281.84654859
"Studied","NO",3499222,76,86.9397527996461,-10.9397527996461,3058909.91676575,-440312.083234254
"Martin Haskell","NO",1554932,18,38.632988618687,-20.632988618687,724478.66449715,-830453.33550285
